Loss development:

=> most between 0.65 - 0.7

=> exception: lstm v9

    experiment-logs/brussels/v0.4.3-single-lstm-v9-minmax-text.log:[LOSS] 0.251350462436676
    experiment-logs/brussels/v0.4.3-single-lstm-v9-minmax-text.log:[LOSS] 0.18181410431861877
    experiment-logs/brussels/v0.4.3-single-lstm-v9-minmax-text.log:[LOSS] 0.14079728722572327
    experiment-logs/brussels/v0.4.3-single-lstm-v9-minmax-text.log:[LOSS] 0.11419308930635452
    experiment-logs/brussels/v0.4.3-single-lstm-v9-minmax-text.log:[LOSS] 0.09571122378110886
    experiment-logs/brussels/v0.4.3-single-lstm-v9-minmax-text.log:[LOSS] 0.08219939470291138
    experiment-logs/brussels/v0.4.3-single-lstm-v9-minmax-text.log:[LOSS] 0.07192675769329071
    experiment-logs/brussels/v0.4.3-single-lstm-v9-minmax-text.log:[LOSS] 0.06387258321046829
    experiment-logs/brussels/v0.4.3-single-lstm-v9-minmax-text.log:[LOSS] 0.05739925801753998

LSTM v6:

    experiment-logs/brussels/v0.4.3-single-lstm-v6-minmax-text.log:[LOSS] 1.57361756064347e-05
    experiment-logs/brussels/v0.4.3-single-lstm-v6-minmax-text.log:[LOSS] 1.097172254560519e-08
    experiment-logs/brussels/v0.4.3-single-lstm-v6-minmax-text.log:[LOSS] 6.895389076388981e-11

DNN v5:

    experiment-logs/brussels/v0.4.3-single-dnn-v5-minmax-text.log:[LOSS] 0.026438630910590292
    experiment-logs/brussels/v0.4.3-single-dnn-v5-minmax-text.log:[LOSS] 0.009981560349464416
    experiment-logs/brussels/v0.4.3-single-dnn-v5-minmax-text.log:[LOSS] 0.0056012896548490974

LSTM v8:

    experiment-logs/brussels/v0.4.3-single-lstm-v8-minmax-text.log:[LOSS] 0.5293307900428772
    experiment-logs/brussels/v0.4.3-single-lstm-v8-minmax-text.log:[LOSS] 0.4077058732509613
    experiment-logs/brussels/v0.4.3-single-lstm-v8-minmax-text.log:[LOSS] 0.3176422417163849
    experiment-logs/brussels/v0.4.3-single-lstm-v8-minmax-text.log:[LOSS] 0.25051385164260864
    experiment-logs/brussels/v0.4.3-single-lstm-v8-minmax-text.log:[LOSS] 0.199901282787323
    experiment-logs/brussels/v0.4.3-single-lstm-v8-minmax-text.log:[LOSS] 0.16121608018875122

LSTM v7:

    experiment-logs/brussels/v0.4.3-single-lstm-v7-minmax-text.log:[LOSS] 0.35587241077423093
    experiment-logs/brussels/v0.4.3-single-lstm-v7-minmax-text.log:[LOSS] 0.20242344546318053
    experiment-logs/brussels/v0.4.3-single-lstm-v7-minmax-text.log:[LOSS] 0.12633623445034028

DNN v4:

    experiment-logs/brussels/v0.4.3-single-dnn-v4-minmax-text.log:[LOSS] 4.4148956447850306e-13
    experiment-logs/brussels/v0.4.3-single-dnn-v4-minmax-text.log:[LOSS] 3.0158371146252256e-16
    experiment-logs/brussels/v0.4.3-single-dnn-v4-minmax-text.log:[LOSS] 4.3354478969826267e-19

DNN v3:

    experiment-logs/brussels/v0.4.3-single-dnn-v3-minmax-text.log:[LOSS] 0.0089775005383417
    experiment-logs/brussels/v0.4.3-single-dnn-v3-minmax-text.log:[LOSS] 0.0038611729828407987
    experiment-logs/brussels/v0.4.3-single-dnn-v3-minmax-text.log:[LOSS] 0.002377939756726846

LSTM v0:

experiment-logs/brussels/v0.4.3-single-lstm-v0-minmax-text.log:[LOSS] 0.5293278694152832
experiment-logs/brussels/v0.4.3-single-lstm-v0-minmax-text.log:[LOSS] 0.40770474076271057
experiment-logs/brussels/v0.4.3-single-lstm-v0-minmax-text.log:[LOSS] 0.31764090061187744

